,Unnamed: 0,Song_Title,Artist,Lyricist,Composer,Lyric
0,0,I Want Somebody,"
嵐",AXEL G,ABERG STEFAN KARL・HULT FREDRIK CARL・LARSSON OLA LARS・SHUSUI,I'm walking round in circles 名前も知らぬ君を 探し歩いた夜は 月灯りさえ眩しい どこに隠れて踊る? So 始まるStory 君がその角を曲がる 追いかけてく未来が 一つの道照らしてる 黙っても感じる気持ち もう二度と逢えない奇跡 I want somebody 一度だけ めぐり逢えた偶然に I need somebody 君を待っていた ただ守りたかった 生まれた恋気 風に乗ってく 今夜逃がさぬように 君の瞳焼きつけた 壊れた時計の針が 運命の背中を蹴る I want somebody 伝えたい 君の未来地図のなか I need somebody 二人の季節 回っているから I want somebody 一度だけ めぐり逢えた偶然に I need somebody 君を待っていた ただ守りたかった 出会いは偶然に 未来はこの手の中に 君の名前 聞かずダキシメル… I want somebody 伝えたい 君の未来地図のなか I need somebody 二人の季節 回っているから I want somebody 一度だけ めぐり逢えた偶然に I need somebody 君を待っていた ただ守りたかった I want somebody I need somebody I want somebody
1,1,I Can't Wait For Christmas,"
嵐",miwaflower,DWB・Mike Macdermid・Julie Morrison,"白く輝く Wonderland 空いっぱいに纏(まと)う Stars 間に合うように 帰り道 急ぐ足音(あし) どんな言い訳より この歌を聞かせたい 何より君の 笑顔が見たい I can't wait for Christmas！ It's a special day, wow... 一緒にさぁ お祝いしよう もっともっと Share the feeling I just want to celebrate！ It's a special day, la la... 何度でも 伝えたいよ 今日はちゃんと言葉にして きっと誰もが Someone's love 胸いっぱいに響く Sounds 離れていても 君のこと 想う瞬間(とき) ありふれた日々に 溢れ出た奇跡が 夜空を越えて 心を照らす I can't wait for Christmas！ It's a special day, wow... 感謝しよう 手を叩こう みんなみんな Have a good time！ I just want to celebrate！ It's a special day, la la... 二度とない 特別な日 いつかきっと思い出すよ 重ねた月日は右手に 大きな未来は左手に 僕ら手を繋ごう Let me see your smile, we'll be here I can't wait for Christmas！ It's a special day, wow... 一緒にさぁ お祝いしよう もっともっと Share the feeling I just want to celebrate！ It's a special day, la la... 何度でも 伝えたいよ 今日はちゃんと言葉にして 今日はちゃんと言葉にして"
2,2,愛してると言えない,"
嵐",Masami Tozawa,Seikou Nagaoka,どんな出来事にも それなりに そう 意味があるさ こんな謎だらけの若さ 早くヤメにしたいよ 寝起きがわるいのも みみたぶ火照(ほて)るのも わけあり 不器用に今日を行こう Shake it Shake it Baby 街角のにぎやかさに のれなくて困る時がある クツズレのせいにしてる 気がかりは何? 聞かないで コンビニの雑誌コーナーで となり合った他人どうし わけのわからない やるせなさ キレないように 越えてこうぜ どんな出来事にも それなりに そう 意味があるさ へんな人にアクセスされて バランスをくずしそう 誰もが迷子だね 誰もがひたむきに わけあり たましいは輝きたい Shake it Shake it Baby 他のヤツが好きな君を 眼が覚めてすぐに思い出す エネルギーが やせてしぼむ 今日も歯ぐきがはれている どうしようもない せつなさは 誰の真上にも降るから はじめて さかあがりが出来た 遠い夏を 思い出すよ どんな出来事にも それなりに そう 意味があるさ こんな謎だらけの若さ 早くヤメにしたいよ 寝起きがわるいのも みみたぶ火照(ほて)るのも わけあり 不器用に今日を行こう Shake it Shake it Baby…talata… Shake it Shake it Baby どんな出来事にも それなりに そう 意味があるさ へんな人にアクセスされて バランスをくずしそう 誰もが迷子だね 誰もがひたむきに わけあり たましいは輝きたい Shake it Shake it Baby Reason もどかしすぎるSeason Reason 知りたいことは見えない Reason あこがれてたいHorizon Reason 真実が見渡せる場所 Reason いつかみつけるFortune Reason いとおしい自分でいよう
3,3,I seek,"
嵐",ASIL,AKJ・ASIL,存在もいつかは溶けてく 対面の先には日差しあふれ 結論ばかりな超理論 まわる まわるよ 真面目に日々を過ごしてきただけ 今更でも ここから 今から 変わりたいんだ 確かに今 かすかに今 君に乱されるまま こんな時でも思い出す 笑顔が眩しくて こんなに愛したい 君に恋したい まだまだまだ 恋がないない そうじゃない こうなっちゃしょうがない 独断的な気ままで Ah 止められない 今ならリアルに Say Goodbye 掌の言葉に Say Hello きっと何かが変わる その時までに Goodbye タイミングばかりが過ぎてく クールが取り柄とキメた矢先 点滅が続くシグナル めぐる めぐるよ 明日もただ 過ぎる季節 君は気づかないまま そんな時でも知らんぷり 自分がかなしくて それでも愛したい 本当の恋したい まだまだまだ そこじゃないない そうじゃない こんなもんじゃない 傲慢的な妄想さえ Ah 止められない 君への気持ちに Say Goodbye 言えそうにない言葉は Say Hello やっと何かに気づく ひとりよがりに Goodbye 新しい季節(とき) 新しい光 新しい風が ゆっくり僕を連れてく 愛したい 君に恋したい まだまだまだ 恋がないない そうじゃない こうなっちゃしょうがない 独断的な気ままで Ah 止められない 今ならリアルに Say Goodbye 掌の言葉に Say Hello きっと何かが変わる その時までに Goodbye 昨日にはGoodbye...
4,4,EYES WITH DELIGHT,"
嵐",久保田洋司,コモリタミノル,"Oh love you love you your eyes with delight その瞳は今 風を見てる Oh love you love you your eyes with delight 涙より深い 輝きを湛(たた)え 微笑んでいる 涼しげな口紅も 君に似合ってる ショーウィンドウで背中の 羽を隠す仕種 さらさらさらさらと ゆれて靡(なび)いて 香るは緑なす 君の黒髪 Oh love you love you your eyes with delight その瞳は今 風を見てる Oh love you love you your eyes with delight 涙より深い 輝きを湛(たた)え 微笑んでいる 長いカーブの坂道 上りきった君 待ち合わせには今日も 早すぎるだろうに ゆらゆらゆらゆらと 陽炎立ちて ストローハットにも 降る蝉時雨 Oh love you love you your eyes with delight その瞳は今 空を見てる Oh love you love you your eyes with delight 涙より深い 輝きを湛(たた)え 微笑んでいる A to da r.a.s.h.i 「A to da r.a.s.h.i Let me hear u say ah, hey ladies 「I'm just gonna say ah, hey men」 party night keep it going on and on 「party night keep it going on and on」 say ho 「ho」 胸にしまったあの悲しみが カタリ 音をたてる でももう 気付かないね Oh love you love you your eyes with delight その瞳は今 僕を見てる Oh love you love you your eyes with delight 涙より深い 輝きを湛(たた)え 微笑んでいる Oh love you love you your eyes with delight その瞳は今 風を見てる Oh love you love you your eyes with delight 涙より深い 輝きを湛(たた)え 微笑んでいる"
5,5,I say,"
嵐",みうらともかず,sk-etch・BERT・ROLF,"仕方ない こんなものさ ワケ知り顔で 孤独 飲み干す 奥まで 放り込んで 鍵かけて Password やぶリ捨て 抱き締め合った Friday Night 雨に変わった涙 戻らない 笑顔の跡 声の面影を 知るほどに I say, Bye Bye 繋がる言葉 見当たらないから だからもう一度 I say, Bye Bye ふたりで見た世界 遠ざかる 君がいた未来 また出会えるなら “誰か”のままでいい だから Bye Bye ただ それだけ 嘘はない 消せはしない 言わないままの 台詞 見つけて 筋書き 読み返して いつの日か Last Word 忘れ去って 確かめ合った Crazy Love 君と触れた夜空 そのまま 輝きだけ 増してゆくのだろう それでもいい I say, Bye Bye 叶わぬ明日 見つからないまま それはもう二度と I say, Bye Bye ふたりはただ強く 抱き締めた 壊れるほどに まだ甘く痛む 君が焦がした心 だけど Bye Bye ただ それだけ I say, Bye Bye まどろみに身を預け I say, Bye Bye 君と見た未来 「届かない」 I say. Bye Bye 繋がる言葉 見当たらないから だからもう一度 I say, Bye Bye ふたりで見た世界 遠ざかる 君がいた未来 また出会えるなら “誰か”のままでいい だから Bye Bye ただ それだけ"
6,6,愛と勇気とチェリーパイ,"
嵐",戸沢暢美,岩田雅之,時が僕たちをためしてるだけ 心配しないで 愛と勇気とね Redチェリーのパイ それだけあれば なんにも怖くない 乗り越えられる 君がいま大好きなものを Ha- 味方にする Love is simple with you Love is simple with you 君がトガルとお手上げ うろたえてること隠すから そう むやみに小石でドリブルさ Oh 恋のスウィートな魔法が とけてくのは 2人の中に もう絆が確かに出来たせい そばにおいでよ けんかしてても 素肌抱きしめても うれしそな君を見ていたいと気づく 時が僕たちをためしてるだけ まっすぐ信じて 愛と勇気とね So Sweetなケーキ 女の子には 時々甘いもの必要みたい 太っても君を愛するよ Ha- もっと食べたら Love is simple with you Love is simple with you 正しいことは大抵 単純だと思わないかい ねぇよそ見もしないで君がいい からんでもいいマメじゃないけど 何かあったときに 1ミリも揺るがずに君を支える 時が僕たちをためしてるだけ 心配しないで 愛と勇気とね Redチェリーのパイ それだけあれば なんにも怖くない 乗り越えられる 世の中は複雑だけれど Ha- 君といると Love is simple with you Love is simple with you ラララ… 女の子には 時々甘いもの必要みたい 幸せな顔になる君を Ha- ずっと見てる Love is simple with you Love is simple with you
7,7,アイドルソングうたってみた,"
五十嵐双葉(楠木ともり)、月城モナ(古賀葵)、桜井桃子(早見沙織)、黒部夏美(青山玲菜)",Junky,Junky,届け！一等賞 キミの一番まで (まるで輝くシューティングスター キミをまだまだ照らそう！) 響け！最大限 キミのハートへ (振り向いてほしいのかもね この手をとってみて) (ウェイクアップ)目が覚めた残酷に(グッモーニン)いつも通りマイルーム (エブリデイ)憧れのキラキラな衣装(どこに行ったのかな)「どこだろう？」 忙しなく日常は(いつも)淡々とした日々で(サニーデイ) それなりに楽しいのかな キミがいるから 意識しちゃうから いつもなんで(なんで？) そうやってなんで(なんで？) ドキドキさせるの 届け！一等賞 キミの一番まで (まるで輝くシューティングスター キミをまだまだ照らそう！) 響け！最大限 キミのハートへ (振り向いてほしいのかもね) この手をとってみて (もしも)同じような毎日に(あぁあ)少しだって疲れない？ (おいで)夢みたいな世界があるなら(入ってみたいのかな？) きっと選ばないのかな(キミと)夢にまでみたって (いたい)キミのいる世界がいいのかな(なんちゃって) がんばるそばでがんばりたいの 見ていてほしいの キミのそばでキラキラできる毎日 ぐるぐるぐるぐる(グルグル)ぐるぐるぐるぐる(グルグル) もうどうにかしてよ 光れ！一番星 キミの近くで輝く毎日がいいかな 響け！最大限 モヤモヤハート 振り向かせちゃうかもね アイドルだったみたい 届け！一等賞 キミの一番まで (まるで輝くシューティングスター キミをまだまだ照らそう！) 響け！最大限 キミのハートへ (振り向かせちゃうかもね でもあんまり見つめないでね...//)
8,8,愛にKISSした,"
森友嵐士",森友嵐士,五味孝氏,夢だけじゃ 守ってやれない Oh この街で こんなにも愛しあっているのに なんで傷つけちゃうんだろう 答えはひとつじゃない こんな世の中でも キミさえいれば 花よ 咲き誇れ オレのままに ふたりのこころ 信じよう Oh 泣いてるキミの顔にそっと触れたら 泣けてきて 愛に KISSした ビルの見える 小さな浜辺に 久しぶりの二人きり キミは裸足で 波と遊んだ 夕暮れのグラデーション 人間ってヤツは うまくいかないけど ゲームにすれば 花よ 咲き誇れ キミのままに ふたりのこころ 信じよう Oh やっと笑ってくれたキミを見てたら また 泣けてきて 愛に KISSした 花よ 咲き誇れ オレのままに ふたりのこころ 信じよう Oh 泣いてるキミの顔にそっと触れたら 泣けてきて 咲き誇れ キミのままに ふたりのこころ 信じよう Oh やっと笑ってくれたキミを見てたら また 泣けてきて 泣けてきて 泣けてきて 愛に KISSした
9,9,愛のCollection,"
嵐",paddy,Chris Meyer,傾いてく 影はスローモーション 気怠い温度 部屋を満たして 構わないから 迷い込めばいい 微熱に浮かされたまま 不完全な 心揺らして 見つめ合った 夜の向こうへ 何度だって 欲しくなって キミのすべて Amazing… Amazing Love 期待したい 騙されたい 記憶飾った Amazing… Amazing Love つなぎ止めていたはずの ほころび直して 甘く満たした 愛のCollection 眠っていたはずの 想いは本能で 書き換えられて 胸に迫る 夜の中で 見つけたWonder 夢じゃないでしよ？ 最初から このままさ 理屈では 解けないMagic 息をして 求め合って 出口見えない Amazing… Amazing Love 誰ひとり 探せない 時間のすき間 Amazing… Amazing Love 大胆不敵な笑みを 疑う言葉 ふたりのゲームを つなぐEmotion 何度だって 欲しくなって キミのすべて Amazing… Amazing Love 期待したい 騙されたい 記憶飾った Amazing… Amazing Love つなぎ止めていたはずの ほころび直して 甘く満たした 愛のCollection You're Amazing… 愛のCollection
